RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41571,2019, 1, 2,    17.00,     5.90, -9999.00, -9999.00,     4.60
     3, 41571,2019, 1, 3,    17.20,     4.30, -9999.00, -9999.00,     0.00
     4, 41571,2019, 1, 4,    10.50,     4.80, -9999.00, -9999.00,     0.00
     5, 41571,2019, 1, 5, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     6, 41571,2019, 1, 6,    15.60,     4.00, -9999.00, -9999.00,     0.20
     7, 41571,2019, 1, 7,     8.50,     4.00, -9999.00, -9999.00,     0.00
     8, 41571,2019, 1, 8,    10.00,     6.00, -9999.00, -9999.00,     0.00
     9, 41571,2019, 1, 9,    18.50,     3.00, -9999.00, -9999.00,     0.00
    10, 41571,2019, 1,10,    15.50,     3.40, -9999.00, -9999.00,     0.00
    11, 41571,2019, 1,11,    15.40,     9.00, -9999.00, -9999.00,     2.00
    12, 41571,2019, 1,12,    14.90,     6.50, -9999.00, -9999.00,     8.00
    13, 41571,2019, 1,13,    14.50,     3.10, -9999.00, -9999.00,     4.40
    14, 41571,2019, 1,14,    15.20,     1.80, -9999.00, -9999.00,     0.00
    15, 41571,2019, 1,15,    18.60,     2.10, -9999.00, -9999.00,     0.00
    16, 41571,2019, 1,16,    15.00,     2.30, -9999.00, -9999.00,     0.00
    17, 41571,2019, 1,17,    19.80,     2.40, -9999.00, -9999.00,     0.00
    18, 41571,2019, 1,18,    15.20,     3.40, -9999.00, -9999.00,     0.00
    19, 41571,2019, 1,19,    20.80,     6.90, -9999.00, -9999.00,     0.00
    20, 41571,2019, 1,20,    17.00,     8.60, -9999.00, -9999.00,     0.50
    21, 41571,2019, 1,21,    11.70,     9.50, -9999.00, -9999.00,    63.00
    22, 41571,2019, 1,22,    10.70,     8.20, -9999.00, -9999.00,    51.70
    23, 41571,2019, 1,23,    15.50,     5.90, -9999.00, -9999.00,    58.20
    24, 41571,2019, 1,24,    15.70,     3.10, -9999.00, -9999.00,     0.00
    25, 41571,2019, 1,25,    15.90,     3.30, -9999.00, -9999.00,     0.00
    26, 41571,2019, 1,26,    16.30,     2.40, -9999.00, -9999.00,     0.00
    27, 41571,2019, 1,27,    16.30,     1.40, -9999.00, -9999.00,     0.00
    28, 41571,2019, 1,28,    17.60,     1.80, -9999.00, -9999.00,     0.00
    29, 41571,2019, 1,29,    17.70,     3.00, -9999.00, -9999.00,     0.00
    30, 41571,2019, 1,30,    14.70,     2.80, -9999.00, -9999.00,     0.00
    31, 41571,2019, 1,31,    13.10,     8.40, -9999.00, -9999.00,    13.10
    32, 41571,2019, 2, 1,    16.70,     6.60, -9999.00, -9999.00,     1.50
    33, 41571,2019, 2, 2,    19.70,     5.90, -9999.00, -9999.00,     0.00
    34, 41571,2019, 2, 3,    20.60,     4.90, -9999.00, -9999.00,     0.00
    35, 41571,2019, 2, 4,    17.60,     6.30, -9999.00, -9999.00,     0.00
    36, 41571,2019, 2, 5,    19.30,     8.80, -9999.00, -9999.00,     0.00
    37, 41571,2019, 2, 6,    12.00,     8.50, -9999.00, -9999.00,    11.70
    38, 41571,2019, 2, 7,    13.30,     6.40, -9999.00, -9999.00,     7.60
    39, 41571,2019, 2, 8,    16.50,     8.00, -9999.00, -9999.00,     2.80
    40, 41571,2019, 2, 9,    18.00,     4.40, -9999.00, -9999.00,     0.00
    41, 41571,2019, 2,10,    21.00,     4.80, -9999.00, -9999.00,     0.00
    42, 41571,2019, 2,11,    20.50,     7.80, -9999.00, -9999.00,     0.00
    43, 41571,2019, 2,12,    19.00,     9.30, -9999.00, -9999.00,     0.00
    44, 41571,2019, 2,13,    17.00,    10.80, -9999.00, -9999.00,     0.00
    45, 41571,2019, 2,14,    12.00,    10.40, -9999.00, -9999.00,    24.00
    46, 41571,2019, 2,15,    18.40,     8.30, -9999.00, -9999.00,    12.30
    47, 41571,2019, 2,16,    20.30,     7.50, -9999.00, -9999.00,    50.00
    48, 41571,2019, 2,17,    18.10,     7.30, -9999.00, -9999.00,     0.00
    49, 41571,2019, 2,18,    12.00,     9.80, -9999.00, -9999.00,     1.50
    50, 41571,2019, 2,19,    18.70,     4.90, -9999.00, -9999.00,     6.10
    51, 41571,2019, 2,20,    15.20,     5.80, -9999.00, -9999.00,    10.00
    52, 41571,2019, 2,22, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    53, 41571,2019, 2,22,    18.20,     5.60, -9999.00, -9999.00,     8.50
    54, 41571,2019, 2,23,    20.70,     6.50, -9999.00, -9999.00,     0.00
    55, 41571,2019, 2,24,    20.70,     7.30, -9999.00, -9999.00,     0.00
    56, 41571,2019, 2,25,    18.50,     8.80, -9999.00, -9999.00,     0.00
    57, 41571,2019, 2,26,    10.30,     9.10, -9999.00, -9999.00,     0.60
